Start: Train Size=1071 | Test R2=-46.2685 | Test MAE=25.7569
Iteração 848: Adicionadas 5 amostras | Incerteza Média Batch: 1.1676 | Test R2: -0.1394 | Test MAE: 3.3674
Iteração 849: Adicionadas 5 amostras | Incerteza Média Batch: 1.2051 | Test R2: -0.1309 | Test MAE: 3.3554
Iteração 850: Adicionadas 5 amostras | Incerteza Média Batch: 1.2465 | Test R2: -0.1241 | Test MAE: 3.3459
Iteração 851: Adicionadas 5 amostras | Incerteza Média Batch: 1.2505 | Test R2: -0.1177 | Test MAE: 3.3374
Iteração 852: Adicionadas 5 amostras | Incerteza Média Batch: 1.2274 | Test R2: -0.1095 | Test MAE: 3.3258
Iteração 853: Adicionadas 5 amostras | Incerteza Média Batch: 1.2214 | Test R2: -0.0864 | Test MAE: 3.2890
Iteração 854: Adicionadas 5 amostras | Incerteza Média Batch: 1.2421 | Test R2: -0.0607 | Test MAE: 3.2468
Iteração 855: Adicionadas 5 amostras | Incerteza Média Batch: 1.2776 | Test R2: -0.0257 | Test MAE: 3.1874
Iteração 856: Adicionadas 5 amostras | Incerteza Média Batch: 1.3182 | Test R2: 0.0107 | Test MAE: 3.1226
Iteração 857: Adicionadas 5 amostras | Incerteza Média Batch: 1.3414 | Test R2: 0.0409 | Test MAE: 3.0640
Iteração 858: Adicionadas 5 amostras | Incerteza Média Batch: 1.3589 | Test R2: 0.0595 | Test MAE: 3.0225
Iteração 859: Adicionadas 5 amostras | Incerteza Média Batch: 1.3307 | Test R2: 0.0674 | Test MAE: 2.9977
Iteração 860: Adicionadas 5 amostras | Incerteza Média Batch: 1.2748 | Test R2: 0.0642 | Test MAE: 2.9948
Iteração 861: Adicionadas 5 amostras | Incerteza Média Batch: 1.2106 | Test R2: 0.0505 | Test MAE: 3.0124
Iteração 862: Adicionadas 5 amostras | Incerteza Média Batch: 1.1954 | Test R2: 0.0356 | Test MAE: 3.0342
Iteração 863: Adicionadas 5 amostras | Incerteza Média Batch: 1.1854 | Test R2: 0.0214 | Test MAE: 3.0564
Iteração 864: Adicionadas 5 amostras | Incerteza Média Batch: 1.1493 | Test R2: 0.0168 | Test MAE: 3.0692
Iteração 865: Adicionadas 5 amostras | Incerteza Média Batch: 1.1519 | Test R2: 0.0178 | Test MAE: 3.0727
Iteração 866: Adicionadas 5 amostras | Incerteza Média Batch: 1.1520 | Test R2: 0.0246 | Test MAE: 3.0701
Iteração 867: Adicionadas 5 amostras | Incerteza Média Batch: 1.1658 | Test R2: 0.0376 | Test MAE: 3.0621
Iteração 868: Adicionadas 5 amostras | Incerteza Média Batch: 1.1641 | Test R2: 0.0510 | Test MAE: 3.0584
Iteração 869: Adicionadas 5 amostras | Incerteza Média Batch: 1.1757 | Test R2: 0.0552 | Test MAE: 3.0726
Iteração 870: Adicionadas 5 amostras | Incerteza Média Batch: 1.1694 | Test R2: 0.0457 | Test MAE: 3.1139
Iteração 871: Adicionadas 5 amostras | Incerteza Média Batch: 1.1585 | Test R2: 0.0164 | Test MAE: 3.1906
Iteração 872: Adicionadas 5 amostras | Incerteza Média Batch: 1.1285 | Test R2: -0.0275 | Test MAE: 3.2868
Iteração 873: Adicionadas 5 amostras | Incerteza Média Batch: 1.1105 | Test R2: -0.0680 | Test MAE: 3.3659
Iteração 874: Adicionadas 5 amostras | Incerteza Média Batch: 1.0928 | Test R2: -0.1055 | Test MAE: 3.4308
Iteração 875: Adicionadas 5 amostras | Incerteza Média Batch: 1.0958 | Test R2: -0.1399 | Test MAE: 3.4850
Iteração 876: Adicionadas 5 amostras | Incerteza Média Batch: 1.0563 | Test R2: -0.1661 | Test MAE: 3.5170
Iteração 877: Adicionadas 5 amostras | Incerteza Média Batch: 1.0742 | Test R2: -0.1832 | Test MAE: 3.5337
Iteração 878: Adicionadas 5 amostras | Incerteza Média Batch: 1.0376 | Test R2: -0.1871 | Test MAE: 3.5267
Iteração 879: Adicionadas 5 amostras | Incerteza Média Batch: 1.0204 | Test R2: -0.1837 | Test MAE: 3.5077
Iteração 880: Adicionadas 5 amostras | Incerteza Média Batch: 1.0064 | Test R2: -0.1720 | Test MAE: 3.4777
Iteração 881: Adicionadas 5 amostras | Incerteza Média Batch: 1.0200 | Test R2: -0.1575 | Test MAE: 3.4459
Iteração 882: Adicionadas 5 amostras | Incerteza Média Batch: 0.9913 | Test R2: -0.1384 | Test MAE: 3.4075
Iteração 883: Adicionadas 5 amostras | Incerteza Média Batch: 0.9949 | Test R2: -0.1188 | Test MAE: 3.3678
Iteração 884: Adicionadas 5 amostras | Incerteza Média Batch: 1.0147 | Test R2: -0.1079 | Test MAE: 3.3468
Iteração 885: Adicionadas 5 amostras | Incerteza Média Batch: 1.0035 | Test R2: -0.1028 | Test MAE: 3.3368
Iteração 886: Adicionadas 5 amostras | Incerteza Média Batch: 0.9966 | Test R2: -0.1027 | Test MAE: 3.3368
Iteração 887: Adicionadas 5 amostras | Incerteza Média Batch: 0.9865 | Test R2: -0.0993 | Test MAE: 3.3314
Iteração 888: Adicionadas 5 amostras | Incerteza Média Batch: 0.9685 | Test R2: -0.0906 | Test MAE: 3.3167
Iteração 889: Adicionadas 5 amostras | Incerteza Média Batch: 0.9587 | Test R2: -0.0713 | Test MAE: 3.2828
Iteração 890: Adicionadas 5 amostras | Incerteza Média Batch: 0.9736 | Test R2: -0.0449 | Test MAE: 3.2359
Iteração 891: Adicionadas 5 amostras | Incerteza Média Batch: 0.9938 | Test R2: -0.0121 | Test MAE: 3.1753
Iteração 892: Adicionadas 5 amostras | Incerteza Média Batch: 1.0009 | Test R2: 0.0184 | Test MAE: 3.1154
Iteração 893: Adicionadas 5 amostras | Incerteza Média Batch: 0.9859 | Test R2: 0.0392 | Test MAE: 3.0707
Iteração 894: Adicionadas 5 amostras | Incerteza Média Batch: 1.0079 | Test R2: 0.0562 | Test MAE: 3.0306
Iteração 895: Adicionadas 5 amostras | Incerteza Média Batch: 1.0063 | Test R2: 0.0668 | Test MAE: 3.0028
Iteração 896: Adicionadas 5 amostras | Incerteza Média Batch: 1.0033 | Test R2: 0.0752 | Test MAE: 2.9799
Iteração 897: Adicionadas 5 amostras | Incerteza Média Batch: 0.9998 | Test R2: 0.0846 | Test MAE: 2.9521
Iteração 898: Adicionadas 5 amostras | Incerteza Média Batch: 1.0123 | Test R2: 0.0951 | Test MAE: 2.9203
Iteração 899: Adicionadas 5 amostras | Incerteza Média Batch: 1.0124 | Test R2: 0.1015 | Test MAE: 2.8929
Iteração 900: Adicionadas 5 amostras | Incerteza Média Batch: 1.0545 | Test R2: 0.0998 | Test MAE: 2.8776
Iteração 901: Adicionadas 5 amostras | Incerteza Média Batch: 1.0086 | Test R2: 0.0906 | Test MAE: 2.8747
Iteração 902: Adicionadas 5 amostras | Incerteza Média Batch: 0.9901 | Test R2: 0.0727 | Test MAE: 2.8874
Iteração 903: Adicionadas 5 amostras | Incerteza Média Batch: 1.0088 | Test R2: 0.0624 | Test MAE: 2.8941
Iteração 904: Adicionadas 5 amostras | Incerteza Média Batch: 1.0159 | Test R2: 0.0653 | Test MAE: 2.8855
Iteração 905: Adicionadas 5 amostras | Incerteza Média Batch: 1.0360 | Test R2: 0.0782 | Test MAE: 2.8647
Iteração 906: Adicionadas 5 amostras | Incerteza Média Batch: 1.0389 | Test R2: 0.1021 | Test MAE: 2.8309
Iteração 907: Adicionadas 5 amostras | Incerteza Média Batch: 1.0567 | Test R2: 0.1294 | Test MAE: 2.7960
Iteração 908: Adicionadas 5 amostras | Incerteza Média Batch: 1.0863 | Test R2: 0.1516 | Test MAE: 2.7734
Iteração 909: Adicionadas 5 amostras | Incerteza Média Batch: 1.0726 | Test R2: 0.1616 | Test MAE: 2.7763
Iteração 910: Adicionadas 5 amostras | Incerteza Média Batch: 1.0538 | Test R2: 0.1569 | Test MAE: 2.8071
Iteração 911: Adicionadas 5 amostras | Incerteza Média Batch: 1.0032 | Test R2: 0.1407 | Test MAE: 2.8580
Iteração 912: Adicionadas 5 amostras | Incerteza Média Batch: 0.9794 | Test R2: 0.1193 | Test MAE: 2.9127
Iteração 913: Adicionadas 5 amostras | Incerteza Média Batch: 0.9837 | Test R2: 0.0989 | Test MAE: 2.9616
Iteração 914: Adicionadas 5 amostras | Incerteza Média Batch: 0.9887 | Test R2: 0.0851 | Test MAE: 2.9948
Iteração 915: Adicionadas 5 amostras | Incerteza Média Batch: 0.9846 | Test R2: 0.0792 | Test MAE: 3.0102
Iteração 916: Adicionadas 5 amostras | Incerteza Média Batch: 0.9717 | Test R2: 0.0842 | Test MAE: 3.0022
Iteração 917: Adicionadas 5 amostras | Incerteza Média Batch: 0.9833 | Test R2: 0.0936 | Test MAE: 2.9841
Iteração 918: Adicionadas 5 amostras | Incerteza Média Batch: 0.9606 | Test R2: 0.1009 | Test MAE: 2.9695
Iteração 919: Adicionadas 5 amostras | Incerteza Média Batch: 0.9395 | Test R2: 0.1038 | Test MAE: 2.9650
Iteração 920: Adicionadas 5 amostras | Incerteza Média Batch: 0.9339 | Test R2: 0.1017 | Test MAE: 2.9723
Iteração 921: Adicionadas 5 amostras | Incerteza Média Batch: 0.9338 | Test R2: 0.1041 | Test MAE: 2.9689
Iteração 922: Adicionadas 5 amostras | Incerteza Média Batch: 0.9199 | Test R2: 0.1098 | Test MAE: 2.9569
Iteração 923: Adicionadas 5 amostras | Incerteza Média Batch: 0.9271 | Test R2: 0.1206 | Test MAE: 2.9309
Iteração 924: Adicionadas 5 amostras | Incerteza Média Batch: 0.9291 | Test R2: 0.1315 | Test MAE: 2.9031
Iteração 925: Adicionadas 5 amostras | Incerteza Média Batch: 0.9516 | Test R2: 0.1418 | Test MAE: 2.8730
Iteração 926: Adicionadas 5 amostras | Incerteza Média Batch: 1.0023 | Test R2: 0.1448 | Test MAE: 2.8637
Iteração 927: Adicionadas 5 amostras | Incerteza Média Batch: 0.9914 | Test R2: 0.1478 | Test MAE: 2.8514
Iteração 928: Adicionadas 5 amostras | Incerteza Média Batch: 0.9633 | Test R2: 0.1513 | Test MAE: 2.8375
Iteração 929: Adicionadas 5 amostras | Incerteza Média Batch: 0.9371 | Test R2: 0.1545 | Test MAE: 2.8216
Iteração 930: Adicionadas 5 amostras | Incerteza Média Batch: 0.9512 | Test R2: 0.1597 | Test MAE: 2.7981
Iteração 931: Adicionadas 5 amostras | Incerteza Média Batch: 0.9608 | Test R2: 0.1593 | Test MAE: 2.7911
Iteração 932: Adicionadas 5 amostras | Incerteza Média Batch: 0.9586 | Test R2: 0.1587 | Test MAE: 2.7870
Iteração 933: Adicionadas 5 amostras | Incerteza Média Batch: 0.9740 | Test R2: 0.1578 | Test MAE: 2.7868
Iteração 934: Adicionadas 5 amostras | Incerteza Média Batch: 0.9561 | Test R2: 0.1584 | Test MAE: 2.7826
Iteração 935: Adicionadas 5 amostras | Incerteza Média Batch: 0.9415 | Test R2: 0.1590 | Test MAE: 2.7772
Iteração 936: Adicionadas 5 amostras | Incerteza Média Batch: 0.9292 | Test R2: 0.1594 | Test MAE: 2.7705
Iteração 937: Adicionadas 5 amostras | Incerteza Média Batch: 0.9350 | Test R2: 0.1600 | Test MAE: 2.7617
Iteração 938: Adicionadas 5 amostras | Incerteza Média Batch: 0.9573 | Test R2: 0.1610 | Test MAE: 2.7566
Iteração 939: Adicionadas 5 amostras | Incerteza Média Batch: 0.9735 | Test R2: 0.1586 | Test MAE: 2.7549
Iteração 940: Adicionadas 5 amostras | Incerteza Média Batch: 0.9602 | Test R2: 0.1553 | Test MAE: 2.7570
Iteração 941: Adicionadas 5 amostras | Incerteza Média Batch: 0.9551 | Test R2: 0.1582 | Test MAE: 2.7533
Iteração 942: Adicionadas 5 amostras | Incerteza Média Batch: 0.9376 | Test R2: 0.1613 | Test MAE: 2.7493
Iteração 943: Adicionadas 5 amostras | Incerteza Média Batch: 0.9897 | Test R2: 0.1723 | Test MAE: 2.7394
Iteração 944: Adicionadas 5 amostras | Incerteza Média Batch: 1.0658 | Test R2: 0.1864 | Test MAE: 2.7312
Iteração 945: Adicionadas 5 amostras | Incerteza Média Batch: 1.1393 | Test R2: 0.1963 | Test MAE: 2.7367
Iteração 946: Adicionadas 5 amostras | Incerteza Média Batch: 1.2145 | Test R2: 0.1930 | Test MAE: 2.7697
Iteração 947: Adicionadas 5 amostras | Incerteza Média Batch: 1.2581 | Test R2: 0.1721 | Test MAE: 2.8349
Iteração 948: Adicionadas 5 amostras | Incerteza Média Batch: 1.2337 | Test R2: 0.1310 | Test MAE: 2.9341
Iteração 949: Adicionadas 5 amostras | Incerteza Média Batch: 1.1473 | Test R2: 0.0788 | Test MAE: 3.0455
Iteração 950: Adicionadas 5 amostras | Incerteza Média Batch: 1.0133 | Test R2: 0.0160 | Test MAE: 3.1702
Iteração 951: Adicionadas 5 amostras | Incerteza Média Batch: 0.9822 | Test R2: -0.0474 | Test MAE: 3.2919
Iteração 952: Adicionadas 5 amostras | Incerteza Média Batch: 1.0036 | Test R2: -0.0939 | Test MAE: 3.3787
Iteração 953: Adicionadas 5 amostras | Incerteza Média Batch: 1.0314 | Test R2: -0.1183 | Test MAE: 3.4244
Iteração 954: Adicionadas 5 amostras | Incerteza Média Batch: 1.0962 | Test R2: -0.1205 | Test MAE: 3.4298
Iteração 955: Adicionadas 5 amostras | Incerteza Média Batch: 1.1643 | Test R2: -0.1030 | Test MAE: 3.3997
Iteração 956: Adicionadas 5 amostras | Incerteza Média Batch: 1.2672 | Test R2: -0.0692 | Test MAE: 3.3389
Iteração 957: Adicionadas 5 amostras | Incerteza Média Batch: 1.4377 | Test R2: -0.0265 | Test MAE: 3.2586
Iteração 958: Adicionadas 5 amostras | Incerteza Média Batch: 1.5598 | Test R2: 0.0194 | Test MAE: 3.1671
Iteração 959: Adicionadas 5 amostras | Incerteza Média Batch: 1.6078 | Test R2: 0.0548 | Test MAE: 3.0934
Iteração 960: Adicionadas 5 amostras | Incerteza Média Batch: 1.4231 | Test R2: 0.0930 | Test MAE: 3.0111
Iteração 961: Adicionadas 5 amostras | Incerteza Média Batch: 1.2618 | Test R2: 0.1201 | Test MAE: 2.9504
Iteração 962: Adicionadas 5 amostras | Incerteza Média Batch: 1.1143 | Test R2: 0.1390 | Test MAE: 2.9086
Iteração 963: Adicionadas 5 amostras | Incerteza Média Batch: 1.0100 | Test R2: 0.1551 | Test MAE: 2.8694
Iteração 964: Adicionadas 5 amostras | Incerteza Média Batch: 1.0405 | Test R2: 0.1612 | Test MAE: 2.8522
Iteração 965: Adicionadas 5 amostras | Incerteza Média Batch: 1.1515 | Test R2: 0.1612 | Test MAE: 2.8505
Iteração 966: Adicionadas 5 amostras | Incerteza Média Batch: 1.1679 | Test R2: 0.1575 | Test MAE: 2.8600
Iteração 967: Adicionadas 5 amostras | Incerteza Média Batch: 1.1595 | Test R2: 0.1499 | Test MAE: 2.8802
Iteração 968: Adicionadas 5 amostras | Incerteza Média Batch: 1.1374 | Test R2: 0.1386 | Test MAE: 2.9097
Iteração 969: Adicionadas 5 amostras | Incerteza Média Batch: 1.1333 | Test R2: 0.1217 | Test MAE: 2.9518
Iteração 970: Adicionadas 5 amostras | Incerteza Média Batch: 1.0875 | Test R2: 0.0926 | Test MAE: 3.0201
Iteração 971: Adicionadas 5 amostras | Incerteza Média Batch: 1.0933 | Test R2: 0.0525 | Test MAE: 3.1107
Iteração 972: Adicionadas 5 amostras | Incerteza Média Batch: 1.1175 | Test R2: 0.0035 | Test MAE: 3.2146
Iteração 973: Adicionadas 5 amostras | Incerteza Média Batch: 1.0625 | Test R2: -0.0460 | Test MAE: 3.3166
Iteração 974: Adicionadas 5 amostras | Incerteza Média Batch: 1.0159 | Test R2: -0.0843 | Test MAE: 3.3970
Iteração 975: Adicionadas 5 amostras | Incerteza Média Batch: 1.0113 | Test R2: -0.1131 | Test MAE: 3.4568
Iteração 976: Adicionadas 5 amostras | Incerteza Média Batch: 1.0244 | Test R2: -0.1185 | Test MAE: 3.4725
Iteração 977: Adicionadas 5 amostras | Incerteza Média Batch: 1.0670 | Test R2: -0.1041 | Test MAE: 3.4516
Iteração 978: Adicionadas 5 amostras | Incerteza Média Batch: 1.1358 | Test R2: -0.0743 | Test MAE: 3.3998
Iteração 979: Adicionadas 5 amostras | Incerteza Média Batch: 1.1807 | Test R2: -0.0334 | Test MAE: 3.3237
Iteração 980: Adicionadas 5 amostras | Incerteza Média Batch: 1.1932 | Test R2: 0.0137 | Test MAE: 3.2308
Iteração 981: Adicionadas 5 amostras | Incerteza Média Batch: 1.1954 | Test R2: 0.0623 | Test MAE: 3.1282
Iteração 982: Adicionadas 5 amostras | Incerteza Média Batch: 1.1777 | Test R2: 0.1054 | Test MAE: 3.0320
Iteração 983: Adicionadas 5 amostras | Incerteza Média Batch: 1.1418 | Test R2: 0.1428 | Test MAE: 2.9413
Iteração 984: Adicionadas 5 amostras | Incerteza Média Batch: 1.1163 | Test R2: 0.1658 | Test MAE: 2.8796
Iteração 985: Adicionadas 5 amostras | Incerteza Média Batch: 1.0743 | Test R2: 0.1812 | Test MAE: 2.8317
Iteração 986: Adicionadas 5 amostras | Incerteza Média Batch: 1.0501 | Test R2: 0.1843 | Test MAE: 2.8118
Iteração 987: Adicionadas 5 amostras | Incerteza Média Batch: 1.0225 | Test R2: 0.1802 | Test MAE: 2.8069
Iteração 988: Adicionadas 5 amostras | Incerteza Média Batch: 1.0151 | Test R2: 0.1714 | Test MAE: 2.8135
Iteração 989: Adicionadas 5 amostras | Incerteza Média Batch: 1.0062 | Test R2: 0.1645 | Test MAE: 2.8212
Iteração 990: Adicionadas 5 amostras | Incerteza Média Batch: 1.0232 | Test R2: 0.1628 | Test MAE: 2.8233
Iteração 991: Adicionadas 5 amostras | Incerteza Média Batch: 1.0328 | Test R2: 0.1626 | Test MAE: 2.8268
Iteração 992: Adicionadas 5 amostras | Incerteza Média Batch: 1.0541 | Test R2: 0.1652 | Test MAE: 2.8282
Iteração 993: Adicionadas 5 amostras | Incerteza Média Batch: 1.1026 | Test R2: 0.1692 | Test MAE: 2.8320
Iteração 994: Adicionadas 5 amostras | Incerteza Média Batch: 1.1672 | Test R2: 0.1679 | Test MAE: 2.8526
Iteração 995: Adicionadas 5 amostras | Incerteza Média Batch: 1.2190 | Test R2: 0.1532 | Test MAE: 2.9032
Iteração 996: Adicionadas 5 amostras | Incerteza Média Batch: 1.2486 | Test R2: 0.1200 | Test MAE: 2.9946
Iteração 997: Adicionadas 5 amostras | Incerteza Média Batch: 1.2519 | Test R2: 0.0668 | Test MAE: 3.1250
Iteração 998: Adicionadas 5 amostras | Incerteza Média Batch: 1.1432 | Test R2: -0.0108 | Test MAE: 3.2978
Iteração 999: Adicionadas 5 amostras | Incerteza Média Batch: 1.0754 | Test R2: -0.1109 | Test MAE: 3.5021
Iteração 1000: Adicionadas 5 amostras | Incerteza Média Batch: 0.9953 | Test R2: -0.2179 | Test MAE: 3.7040
Iteração 1001: Adicionadas 5 amostras | Incerteza Média Batch: 0.9724 | Test R2: -0.3257 | Test MAE: 3.8912
Iteração 1002: Adicionadas 5 amostras | Incerteza Média Batch: 0.9510 | Test R2: -0.4145 | Test MAE: 4.0371
Iteração 1003: Adicionadas 5 amostras | Incerteza Média Batch: 0.9662 | Test R2: -0.4795 | Test MAE: 4.1312
Iteração 1004: Adicionadas 5 amostras | Incerteza Média Batch: 0.9570 | Test R2: -0.5249 | Test MAE: 4.1893
Iteração 1005: Adicionadas 5 amostras | Incerteza Média Batch: 0.9900 | Test R2: -0.5406 | Test MAE: 4.2024
Iteração 1006: Adicionadas 5 amostras | Incerteza Média Batch: 1.0215 | Test R2: -0.5273 | Test MAE: 4.1734
Iteração 1007: Adicionadas 5 amostras | Incerteza Média Batch: 1.0815 | Test R2: -0.4862 | Test MAE: 4.1042
Iteração 1008: Adicionadas 5 amostras | Incerteza Média Batch: 1.1551 | Test R2: -0.4221 | Test MAE: 4.0003
Iteração 1009: Adicionadas 5 amostras | Incerteza Média Batch: 1.2560 | Test R2: -0.3397 | Test MAE: 3.8659
Iteração 1010: Adicionadas 5 amostras | Incerteza Média Batch: 1.3859 | Test R2: -0.2451 | Test MAE: 3.7065
Iteração 1011: Adicionadas 5 amostras | Incerteza Média Batch: 1.5488 | Test R2: -0.1446 | Test MAE: 3.5282
Iteração 1012: Adicionadas 5 amostras | Incerteza Média Batch: 1.7255 | Test R2: -0.0682 | Test MAE: 3.3852
Iteração 1013: Adicionadas 5 amostras | Incerteza Média Batch: 1.7043 | Test R2: 0.0066 | Test MAE: 3.2378
Iteração 1014: Adicionadas 5 amostras | Incerteza Média Batch: 1.7061 | Test R2: 0.0722 | Test MAE: 3.1013
Iteração 1015: Adicionadas 5 amostras | Incerteza Média Batch: 1.6969 | Test R2: 0.1281 | Test MAE: 2.9777
Iteração 1016: Adicionadas 5 amostras | Incerteza Média Batch: 1.7154 | Test R2: 0.1671 | Test MAE: 2.8786
Iteração 1017: Adicionadas 5 amostras | Incerteza Média Batch: 1.8701 | Test R2: 0.1816 | Test MAE: 2.8211
Iteração 1018: Adicionadas 5 amostras | Incerteza Média Batch: 1.6896 | Test R2: 0.1724 | Test MAE: 2.8054
Iteração 1019: Adicionadas 5 amostras | Incerteza Média Batch: 1.5811 | Test R2: 0.1538 | Test MAE: 2.8178
Iteração 1020: Adicionadas 5 amostras | Incerteza Média Batch: 1.4810 | Test R2: 0.1375 | Test MAE: 2.8339
Iteração 1021: Adicionadas 5 amostras | Incerteza Média Batch: 1.4217 | Test R2: 0.1318 | Test MAE: 2.8386
Iteração 1022: Adicionadas 5 amostras | Incerteza Média Batch: 1.4986 | Test R2: 0.1406 | Test MAE: 2.8249
Iteração 1023: Adicionadas 5 amostras | Incerteza Média Batch: 1.6569 | Test R2: 0.1591 | Test MAE: 2.7998
Iteração 1024: Adicionadas 5 amostras | Incerteza Média Batch: 1.8681 | Test R2: 0.1807 | Test MAE: 2.7740
Iteração 1025: Adicionadas 5 amostras | Incerteza Média Batch: 2.0816 | Test R2: 0.1974 | Test MAE: 2.7614
Iteração 1026: Adicionadas 5 amostras | Incerteza Média Batch: 2.3126 | Test R2: 0.1997 | Test MAE: 2.7783
Iteração 1027: Adicionadas 5 amostras | Incerteza Média Batch: 2.4599 | Test R2: 0.1819 | Test MAE: 2.8340
Iteração 1028: Adicionadas 5 amostras | Incerteza Média Batch: 2.4846 | Test R2: 0.1419 | Test MAE: 2.9331
Iteração 1029: Adicionadas 5 amostras | Incerteza Média Batch: 2.3887 | Test R2: 0.0890 | Test MAE: 3.0525
Iteração 1030: Adicionadas 5 amostras | Incerteza Média Batch: 2.1995 | Test R2: 0.0340 | Test MAE: 3.1686
Iteração 1031: Adicionadas 5 amostras | Incerteza Média Batch: 1.9550 | Test R2: -0.0123 | Test MAE: 3.2611
Iteração 1032: Adicionadas 5 amostras | Incerteza Média Batch: 1.6848 | Test R2: -0.0494 | Test MAE: 3.3323
Iteração 1033: Adicionadas 5 amostras | Incerteza Média Batch: 1.3079 | Test R2: -0.0663 | Test MAE: 3.3636
